База данных обычного бетона — Normal Concrete ML Dataset;;;;;;;;;;;
Всего строк: 2412  |  Оба таргета (Slump+CS): 873  |  Только CS_28d: 1539  |  Источники: UCI Slump Test (Yeh,2007), Mendeley Guangxi (2022), UCI CS (Yeh,1998), Лист6;;;;;;;;;;;
Цемент (кг/м³);Шлак BFS (кг/м³);Зола-унос (кг/м³);Микрокремнезём (кг/м³);Вода (кг/м³);Суперпластификатор (кг/м³);ЩебеньКрупный заполнитель (кг/м³);Песок Мелкий заполнитель (кг/м³);Возраст (дней);Осадка конуса (мм)  ← ТАРГЕТ 1;Прочность CS_28d (МПа)  ← ТАРГЕТ 2;Источник
140,00;128,00;164,00;0,00;183,00;12,00;871,00;775,00;28;237,5;33,38;UCI_Slump_Test_Yeh2007
308,00;111,00;142,00;0,00;217,00;10,00;783,00;686,00;28;250;42,08;UCI_Slump_Test_Yeh2007
295,00;106,00;136,00;0,00;208,00;6,00;871,00;650,00;28;265;39,4;UCI_Slump_Test_Yeh2007
298,00;107,00;137,00;0,00;201,00;6,00;878,00;655,00;28;160;41,27;UCI_Slump_Test_Yeh2007
314,00;0,00;161,00;0,00;207,00;6,00;851,00;757,00;28;215;41,14;UCI_Slump_Test_Yeh2007
321,00;0,00;164,00;0,00;190,00;5,00;870,00;774,00;28;240;45,82;UCI_Slump_Test_Yeh2007
349,00;0,00;178,00;0,00;230,00;6,00;785,00;721,00;28;200;43,95;UCI_Slump_Test_Yeh2007
366,00;0,00;187,00;0,00;191,00;7,00;824,00;757,00;28;247,5;52,65;UCI_Slump_Test_Yeh2007
274,00;89,00;115,00;0,00;202,00;9,00;759,00;827,00;28;265;35,52;UCI_Slump_Test_Yeh2007
137,00;167,00;214,00;0,00;226,00;6,00;708,00;757,00;28;275;34,45;UCI_Slump_Test_Yeh2007
275,00;99,00;127,00;0,00;184,00;13,00;810,00;790,00;28;257,5;43,54;UCI_Slump_Test_Yeh2007
252,00;76,00;97,00;0,00;194,00;8,00;835,00;821,00;28;230;33,11;UCI_Slump_Test_Yeh2007
165,00;150,00;0,00;0,00;182,00;12,00;1 023,00;729,00;28;145;18,26;UCI_Slump_Test_Yeh2007
158,00;0,00;246,00;0,00;174,00;7,00;1 035,00;706,00;28;190;34,99;UCI_Slump_Test_Yeh2007
156,00;0,00;243,00;0,00;180,00;11,00;1 022,00;698,00;28;210;33,78;UCI_Slump_Test_Yeh2007
145,00;177,00;227,00;0,00;209,00;11,00;752,00;715,00;28;25;35,66;UCI_Slump_Test_Yeh2007
154,00;141,00;181,00;0,00;234,00;11,00;797,00;683,00;28;230;33,51;UCI_Slump_Test_Yeh2007
160,00;146,00;188,00;0,00;203,00;11,00;829,00;710,00;28;130;33,51;UCI_Slump_Test_Yeh2007
291,00;105,00;0,00;0,00;205,00;6,00;859,00;797,00;28;240;27,62;UCI_Slump_Test_Yeh2007
298,00;107,00;0,00;0,00;186,00;6,00;879,00;815,00;28;30;30,97;UCI_Slump_Test_Yeh2007
318,00;126,00;0,00;0,00;210,00;6,00;861,00;737,00;28;175;31,77;UCI_Slump_Test_Yeh2007
280,00;92,00;118,00;0,00;207,00;9,00;883,00;679,00;28;255;37,39;UCI_Slump_Test_Yeh2007
287,00;94,00;121,00;0,00;188,00;9,00;904,00;696,00;28;250;43,01;UCI_Slump_Test_Yeh2007
332,00;0,00;170,00;0,00;160,00;6,00;900,00;806,00;28;0;58,53;UCI_Slump_Test_Yeh2007
326,00;0,00;167,00;0,00;174,00;6,00;884,00;792,00;28;215;52,65;UCI_Slump_Test_Yeh2007
320,00;0,00;163,00;0,00;188,00;9,00;866,00;776,00;28;235;45,69;UCI_Slump_Test_Yeh2007
342,00;136,00;0,00;0,00;225,00;11,00;770,00;747,00;28;210;32,04;UCI_Slump_Test_Yeh2007
356,00;142,00;0,00;0,00;193,00;11,00;801,00;778,00;28;80;36,46;UCI_Slump_Test_Yeh2007
309,00;0,00;142,00;0,00;218,00;10,00;912,00;680,00;28;240;38,59;UCI_Slump_Test_Yeh2007
322,00;0,00;149,00;0,00;186,00;8,00;951,00;709,00;28;205;45,42;UCI_Slump_Test_Yeh2007
159,00;193,00;0,00;0,00;208,00;12,00;821,00;818,00;28;230;19,19;UCI_Slump_Test_Yeh2007
307,00;110,00;0,00;0,00;189,00;10,00;904,00;765,00;28;220;31,5;UCI_Slump_Test_Yeh2007
313,00;124,00;0,00;0,00;205,00;11,00;846,00;758,00;28;220;29,63;UCI_Slump_Test_Yeh2007
143,00;131,00;168,00;0,00;217,00;6,00;891,00;672,00;28;250;26,42;UCI_Slump_Test_Yeh2007
140,00;128,00;164,00;0,00;237,00;6,00;869,00;656,00;28;240;29,5;UCI_Slump_Test_Yeh2007
278,00;0,00;117,00;0,00;205,00;9,00;875,00;799,00;28;190;32,71;UCI_Slump_Test_Yeh2007
288,00;0,00;121,00;0,00;177,00;7,00;908,00;829,00;28;225;39,93;UCI_Slump_Test_Yeh2007
299,00;107,00;0,00;0,00;210,00;10,00;881,00;745,00;28;250;28,29;UCI_Slump_Test_Yeh2007
291,00;104,00;0,00;0,00;231,00;9,00;857,00;725,00;28;230;30,43;UCI_Slump_Test_Yeh2007
265,00;86,00;111,00;0,00;195,00;6,00;833,00;790,00;28;270;37,39;UCI_Slump_Test_Yeh2007
159,00;0,00;248,00;0,00;175,00;12,00;1 041,00;683,00;28;210;35,39;UCI_Slump_Test_Yeh2007
160,00;0,00;250,00;0,00;168,00;12,00;1 049,00;688,00;28;180;37,66;UCI_Slump_Test_Yeh2007
166,00;0,00;260,00;0,00;183,00;13,00;859,00;827,00;28;210;40,34;UCI_Slump_Test_Yeh2007
320,00;127,00;164,00;0,00;211,00;6,00;721,00;723,00;28;20;46,36;UCI_Slump_Test_Yeh2007
336,00;134,00;0,00;0,00;222,00;6,00;756,00;787,00;28;260;31,9;UCI_Slump_Test_Yeh2007
276,00;90,00;116,00;0,00;180,00;9,00;870,00;768,00;28;0;44,08;UCI_Slump_Test_Yeh2007
313,00;112,00;0,00;0,00;220,00;10,00;794,00;789,00;28;230;28,16;UCI_Slump_Test_Yeh2007
322,00;116,00;0,00;0,00;196,00;10,00;818,00;813,00;28;255;29,77;UCI_Slump_Test_Yeh2007
294,00;106,00;136,00;0,00;207,00;6,00;747,00;778,00;28;240;41,27;UCI_Slump_Test_Yeh2007
146,00;106,00;137,00;0,00;209,00;6,00;875,00;765,00;28;240;27,89;UCI_Slump_Test_Yeh2007
149,00;109,00;139,00;0,00;193,00;6,00;892,00;780,00;28;235;28,7;UCI_Slump_Test_Yeh2007
159,00;0,00;187,00;0,00;176,00;11,00;990,00;789,00;28;120;32,57;UCI_Slump_Test_Yeh2007
261,00;78,00;100,00;0,00;201,00;9,00;864,00;761,00;28;230;34,18;UCI_Slump_Test_Yeh2007
140,00;1,40;198,10;0,00;174,90;4,40;1 049,90;780,50;28;162,5;30,83;UCI_Slump_Test_Yeh2007
141,10;0,60;209,50;0,00;188,80;4,60;996,10;789,20;28;235;30,43;UCI_Slump_Test_Yeh2007
140,10;4,20;215,90;0,00;193,90;4,70;1 049,50;710,10;28;245;26,42;UCI_Slump_Test_Yeh2007
140,10;11,80;226,10;0,00;207,80;4,90;1 020,90;683,80;28;210;26,28;UCI_Slump_Test_Yeh2007
160,20;0,30;240,00;0,00;233,50;9,20;781,00;841,10;28;240;36,19;UCI_Slump_Test_Yeh2007
140,20;30,50;239,00;0,00;169,40;5,30;1 028,40;742,70;28;212,5;36,32;UCI_Slump_Test_Yeh2007
140,20;44,80;234,90;0,00;171,30;5,50;1 047,60;704,00;28;235;33,78;UCI_Slump_Test_Yeh2007
140,50;61,10;238,90;0,00;182,50;5,70;1 017,70;681,40;28;245;30,97;UCI_Slump_Test_Yeh2007
143,30;91,80;239,80;0,00;200,80;6,20;964,80;647,10;28;250;27,09;UCI_Slump_Test_Yeh2007
194,30;0,30;240,00;0,00;234,20;8,90;780,60;811,30;28;265;38,46;UCI_Slump_Test_Yeh2007
150,40;110,90;239,70;0,00;168,10;6,50;1 000,20;667,20;28;95;37,92;UCI_Slump_Test_Yeh2007
150,30;111,40;238,80;0,00;167,30;6,50;999,50;670,50;28;145;38,19;UCI_Slump_Test_Yeh2007
155,40;122,10;240,00;0,00;179,90;6,70;966,80;652,50;28;145;35,52;UCI_Slump_Test_Yeh2007
165,30;143,20;238,30;0,00;200,40;7,10;883,20;652,60;28;170;32,84;UCI_Slump_Test_Yeh2007
303,80;0,20;239,80;0,00;236,40;8,30;780,10;715,30;28;250;44,48;UCI_Slump_Test_Yeh2007
172,00;162,10;238,50;0,00;166,00;7,40;953,30;641,40;28;0;41,54;UCI_Slump_Test_Yeh2007
172,80;158,30;239,50;0,00;166,40;7,40;952,60;644,10;28;0;41,81;UCI_Slump_Test_Yeh2007
184,30;153,40;239,20;0,00;179,00;7,50;920,20;640,90;28;0;41,01;UCI_Slump_Test_Yeh2007
215,60;112,90;239,00;0,00;198,70;7,40;884,00;649,10;28;275;39,13;UCI_Slump_Test_Yeh2007
295,30;0,00;239,90;0,00;236,20;8,30;780,30;722,90;28;250;44,08;UCI_Slump_Test_Yeh2007
248,30;101,00;239,10;0,00;168,90;7,70;954,20;640,60;28;0;49,97;UCI_Slump_Test_Yeh2007
248,00;101,00;239,90;0,00;169,10;7,70;949,90;644,10;28;20;50,23;UCI_Slump_Test_Yeh2007
258,80;88,00;239,60;0,00;175,30;7,60;938,90;646,00;28;0;50,5;UCI_Slump_Test_Yeh2007
297,10;40,90;239,90;0,00;194,00;7,50;908,90;651,80;28;275;49,17;UCI_Slump_Test_Yeh2007
348,70;0,10;223,10;0,00;208,50;9,60;786,20;758,10;28;290;48,77;UCI_Slump_Test_Yeh2007
380,00;0,00;0,00;0,00;171,00;6,84;1 017,00;832,00;28;210;42,8;Mendeley_Guangxi2022
338,00;0,00;60,00;0,00;171,00;7,16;1 007,00;824,00;28;205;42,2;Mendeley_Guangxi2022
241,00;0,00;42,00;0,00;170,00;4,24;1 051,00;896,00;28;180;24,4;Mendeley_Guangxi2022
358,00;0,00;0,00;0,00;172,00;5,37;1 047,00;823,00;28;180;41,6;Mendeley_Guangxi2022
304,00;0,00;54,00;0,00;172,00;5,37;1 047,00;823,00;28;190;41,2;Mendeley_Guangxi2022
205,00;0,00;36,00;0,00;190,00;3,62;1 044,00;925,00;28;180;22,2;Mendeley_Guangxi2022
425,00;0,00;0,00;0,00;170,00;6,38;1 047,00;758,00;28;195;52,4;Mendeley_Guangxi2022
369,00;0,00;65,00;0,00;165,00;7,81;1 063,00;738,00;28;205;53,5;Mendeley_Guangxi2022
321,00;0,00;0,00;0,00;170,00;4,82;1 050,00;859,00;28;180;36,4;Mendeley_Guangxi2022
281,00;0,00;50,00;0,00;172,00;4,96;1 062,00;835,00;28;185;35,8;Mendeley_Guangxi2022
353,00;0,00;62,00;0,00;170,00;6,22;1 035,00;780,00;28;180;46,6;Mendeley_Guangxi2022
391,00;0,00;0,00;0,00;172,00;5,86;1 047,00;790,00;28;180;46,2;Mendeley_Guangxi2022
293,00;0,00;0,00;0,00;170,00;4,40;1 046,00;891,00;28;180;30,6;Mendeley_Guangxi2022
266,00;0,00;47,00;0,00;172,00;4,70;1 072,00;843,00;28;180;29,8;Mendeley_Guangxi2022
209,00;0,00;40,00;0,00;174,00;3,74;989,00;988,00;28;195;23,9;Mendeley_Guangxi2022
235,00;0,00;45,00;0,00;171,00;4,20;1 004,00;965,00;28;190;28,5;Mendeley_Guangxi2022
270,00;0,00;51,00;0,00;170,00;4,82;1 003,00;926,00;28;195;37,4;Mendeley_Guangxi2022
319,00;0,00;61,00;0,00;167,00;5,70;1 017,00;866,00;28;190;43,25;Mendeley_Guangxi2022
332,00;0,00;63,00;0,00;174,00;7,11;968,00;893,00;28;215;42,55;Mendeley_Guangxi2022
324,00;0,00;62,00;0,00;170,00;5,79;1 031,00;843,00;28;195;42,5;Mendeley_Guangxi2022
216,00;0,00;144,00;0,00;162,00;5,40;1 089,00;789,00;28;200;43,2;Mendeley_Guangxi2022
344,00;0,00;66,00;0,00;168,00;6,15;1 030,00;842,00;28;195;47;Mendeley_Guangxi2022
276,00;0,00;0,00;0,00;171,00;4,14;1 046,00;927,00;28;195;28,95;Mendeley_Guangxi2022
309,00;0,00;0,00;0,00;170,00;4,64;1 048,00;893,00;28;195;37,55;Mendeley_Guangxi2022
373,00;0,00;0,00;0,00;168,00;5,60;1 020,00;869,00;28;200;42;Mendeley_Guangxi2022
384,00;0,00;0,00;0,00;173,00;6,91;993,00;880,00;28;220;42,05;Mendeley_Guangxi2022
384,00;0,00;0,00;0,00;168,00;5,76;1 027,00;841,00;28;200;41,15;Mendeley_Guangxi2022
395,00;0,00;0,00;0,00;166,00;5,92;1 047,00;822,00;28;200;45,35;Mendeley_Guangxi2022
431,00;0,00;0,00;0,00;168,00;7,76;1 055,00;796,00;28;200;50,9;Mendeley_Guangxi2022
470,00;0,00;0,00;0,00;190,00;5,64;929,00;761,00;28;115;35,85;Mendeley_Guangxi2022
450,00;0,00;0,00;0,00;188,00;5,40;942,00;770,00;28;110;28,25;Mendeley_Guangxi2022
250,00;0,00;0,00;0,00;270,00;0,00;0,00;1 600,00;28;60;12,8;Mendeley_Guangxi2022
300,00;0,00;0,00;0,00;270,00;0,00;0,00;1 600,00;28;64;16,8;Mendeley_Guangxi2022
320,00;0,00;0,00;0,00;280,00;0,00;0,00;1 600,00;28;65;18,8;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;280,00;0,00;0,00;1 600,00;28;66;26;Mendeley_Guangxi2022
540,00;0,00;0,00;0,00;300,00;0,00;0,00;1 600,00;28;65;38,3;Mendeley_Guangxi2022
560,00;0,00;0,00;0,00;250,00;5,60;0,00;1 600,00;28;116;39,2;Mendeley_Guangxi2022
500,00;0,00;0,00;0,00;240,00;0,00;805,00;805,00;28;110;40,33333333;Mendeley_Guangxi2022
469,00;0,00;0,00;0,00;230,00;0,00;825,00;826,00;28;120;34,88333333;Mendeley_Guangxi2022
500,00;0,00;4,00;0,00;185,00;0,00;833,00;832,00;28;120;42;Mendeley_Guangxi2022
460,00;0,00;3,68;0,00;184,00;0,00;853,00;853,00;28;110;36,4;Mendeley_Guangxi2022
386,00;0,00;0,00;0,00;170,00;6,95;1 014,00;830,00;28;220;48,2;Mendeley_Guangxi2022
320,00;0,00;80,00;0,00;168,00;7,20;1 044,00;788,00;28;220;44,81666667;Mendeley_Guangxi2022
313,00;0,00;69,00;0,00;172,00;5,73;1 071,00;775,00;28;200;42,33333333;Mendeley_Guangxi2022
375,00;0,00;0,00;0,00;165,00;5,62;1 042,00;818,00;28;200;49,16666667;Mendeley_Guangxi2022
305,00;0,00;54,00;0,00;165,00;5,38;1 069,00;807,00;28;200;39,13333333;Mendeley_Guangxi2022
344,00;0,00;0,00;0,00;165,00;5,16;1 059,00;832,00;28;200;37,6;Mendeley_Guangxi2022
317,00;0,00;0,00;0,00;165,00;4,76;1 093,00;825,00;28;200;41,88333333;Mendeley_Guangxi2022
286,00;0,00;50,00;0,00;168,00;5,04;1 062,00;834,00;28;200;39,08333333;Mendeley_Guangxi2022
365,00;0,00;0,00;0,00;168,00;5,48;1 046,00;821,00;28;200;37,9;Mendeley_Guangxi2022
382,00;0,00;0,00;0,00;168,00;5,73;1 036,00;814,00;28;200;46,55;Mendeley_Guangxi2022
378,00;0,00;0,00;0,00;170,00;5,67;1 037,00;815,00;28;200;44,56666667;Mendeley_Guangxi2022
336,00;0,00;59,00;0,00;170,00;5,92;1 064,00;771,00;28;200;44,08333333;Mendeley_Guangxi2022
434,00;0,00;0,00;0,00;165,00;7,81;1 111,00;740,00;28;200;54,18333333;Mendeley_Guangxi2022
382,00;0,00;67,00;0,00;166,00;8,08;1 064,00;771,00;28;200;53,86666667;Mendeley_Guangxi2022
444,00;0,00;0,00;0,00;160,00;7,99;1 089,00;757,00;28;200;53,05;Mendeley_Guangxi2022
376,00;0,00;66,00;0,00;168,00;7,96;1 104,00;736,00;28;200;54,1;Mendeley_Guangxi2022
275,00;0,00;0,00;0,00;165,00;4,13;1 106,00;834,00;28;200;29,05;Mendeley_Guangxi2022
295,00;0,00;0,00;0,00;165,00;4,43;1 075,00;845,00;28;200;33,8;Mendeley_Guangxi2022
259,00;0,00;46,00;0,00;168,00;4,58;1 087,00;820,00;28;200;32,21666667;Mendeley_Guangxi2022
446,00;0,00;0,00;0,00;165,00;6,69;1 067,00;772,00;28;200;52,23333333;Mendeley_Guangxi2022
242,00;0,00;0,00;0,00;160,00;3,63;1 127,00;851,00;28;180;26,41666667;Mendeley_Guangxi2022
383,00;0,00;0,00;0,00;153,00;6,13;1 225,00;719,00;28;50;7,9;Mendeley_Guangxi2022
393,00;0,00;0,00;0,00;165,00;5,50;1 050,00;792,00;28;190;49,6;Mendeley_Guangxi2022
225,00;0,00;150,00;0,00;165,00;7,50;1 097,00;763,00;28;220;35,1;Mendeley_Guangxi2022
234,00;0,00;41,00;0,00;165,00;3,90;1 106,00;834,00;28;200;28,4;Mendeley_Guangxi2022
252,00;0,00;48,00;0,00;168,00;4,20;1 033,00;880,00;28;190;32,8;Mendeley_Guangxi2022
293,00;0,00;0,00;0,00;168,00;4,10;1 036,00;881,00;28;190;35,5;Mendeley_Guangxi2022
257,00;0,00;45,00;0,00;166,00;4,50;1 033,00;880,00;28;210;33;Mendeley_Guangxi2022
276,00;0,00;60,00;0,00;168,00;5,00;1 042,00;853,00;28;200;36,6;Mendeley_Guangxi2022
323,00;0,00;0,00;0,00;168,00;4,80;1 050,00;859,00;28;200;39,2;Mendeley_Guangxi2022
293,00;0,00;64,00;0,00;168,00;5,40;1 012,00;863,00;28;220;35,5;Mendeley_Guangxi2022
343,00;0,00;0,00;0,00;169,00;5,10;1 020,00;869,00;28;210;41,8;Mendeley_Guangxi2022
313,00;0,00;60,00;0,00;168,00;6,00;1 040,00;818,00;28;200;42,1;Mendeley_Guangxi2022
370,00;0,00;0,00;0,00;170,00;5,90;1 023,00;837,00;28;200;44,3;Mendeley_Guangxi2022
321,00;0,00;70,00;0,00;168,00;7,00;976,00;865,00;28;220;42,7;Mendeley_Guangxi2022
378,00;0,00;0,00;0,00;170,00;6,80;1 000,00;852,00;28;220;48,8;Mendeley_Guangxi2022
317,00;0,00;65,00;0,00;168,00;6,50;980,00;870,00;28;210;41,8;Mendeley_Guangxi2022
365,00;0,00;0,00;0,00;168,00;6,20;990,00;877,00;28;220;44;Mendeley_Guangxi2022
325,00;0,00;57,00;0,00;168,00;6,50;999,00;851,00;28;200;44,8;Mendeley_Guangxi2022
373,00;0,00;0,00;0,00;168,00;6,30;1 004,00;855,00;28;200;42,9;Mendeley_Guangxi2022
376,00;0,00;70,00;0,00;165,00;8,00;1 048,00;791,00;28;200;50,8;Mendeley_Guangxi2022
423,00;0,00;0,00;0,00;165,00;7,60;1 061,00;801,00;28;200;52;Mendeley_Guangxi2022
385,00;0,00;73,00;0,00;165,00;8,20;1 005,00;822,00;28;220;51,7;Mendeley_Guangxi2022
434,00;0,00;0,00;0,00;165,00;7,80;1 018,00;833,00;28;200;52,1;Mendeley_Guangxi2022
340,00;0,00;60,00;0,00;168,00;6,80;1 026,00;806,00;28;200;46,8;Mendeley_Guangxi2022
391,00;0,00;0,00;0,00;168,00;6,60;1 012,00;829,00;28;200;48,2;Mendeley_Guangxi2022
463,00;0,00;0,00;0,00;185,00;6,50;901,00;901,00;28;140;35,9;Mendeley_Guangxi2022
500,00;0,00;0,00;0,00;185,00;7,00;883,00;883,00;28;140;40,4;Mendeley_Guangxi2022
295,00;0,00;103,00;0,00;171,00;5,97;970,00;861,00;28;220;46,35;Mendeley_Guangxi2022
338,00;0,00;60,00;0,00;163,00;5,17;975,00;864,00;28;200;50,85;Mendeley_Guangxi2022
296,00;0,00;52,00;0,00;160,00;3,83;1 116,00;776,00;28;200;45,35;Mendeley_Guangxi2022
280,00;0,00;50,00;0,00;165,00;3,96;1 067,00;838,00;28;190;40,45;Mendeley_Guangxi2022
269,00;0,00;48,00;0,00;168,00;3,80;1 053,00;862,00;28;195;33,5;Mendeley_Guangxi2022
238,00;0,00;42,00;0,00;168,00;3,36;1 015,00;937,00;28;185;28,75;Mendeley_Guangxi2022
350,00;0,00;62,00;0,00;165,00;5,36;1 039,00;784,00;28;200;51,65;Mendeley_Guangxi2022
357,00;0,00;63,00;0,00;168,00;6,30;1 087,00;725,00;28;190;55,45;Mendeley_Guangxi2022
494,00;0,00;0,00;0,00;158,00;7,41;1 061,00;737,00;28;200;68,05;Mendeley_Guangxi2022
480,00;0,00;47,00;0,00;158,00;7,91;1 059,00;706,00;28;200;72,1;Mendeley_Guangxi2022
318,00;0,00;80,00;0,00;171,00;5,17;970,00;861,00;28;190;46,35;Mendeley_Guangxi2022
214,00;0,00;71,00;0,00;165,00;3,42;1 033,00;917,00;28;180;26,4;Mendeley_Guangxi2022
267,00;0,00;47,00;0,00;164,00;3,77;1 019,00;903,00;28;180;34,15;Mendeley_Guangxi2022
450,00;0,00;0,00;0,00;171,00;0,00;840,00;840,00;28;100;32,65;Mendeley_Guangxi2022
470,00;0,00;0,00;0,00;178,00;0,00;826,00;826,00;28;100;35,85;Mendeley_Guangxi2022
293,00;0,00;52,00;0,00;162,00;4,13;1 023,00;871,00;28;200;34,2;Mendeley_Guangxi2022
300,00;0,00;100,00;0,00;163,00;5,60;974,00;863,00;28;210;43,7;Mendeley_Guangxi2022
323,00;0,00;57,00;0,00;162,00;4,94;1 003,00;855,00;28;200;39,8;Mendeley_Guangxi2022
298,00;0,00;100,00;0,00;172,00;5,97;970,00;860,00;28;230;43,75;Mendeley_Guangxi2022
340,00;0,00;60,00;0,00;165,00;5,20;1 009,00;826,00;28;180;43,7;Mendeley_Guangxi2022
357,00;0,00;63,00;0,00;160,00;5,46;1 047,00;823,00;28;200;57;Mendeley_Guangxi2022
311,00;0,00;104,00;0,00;172,00;6,23;997,00;816,00;28;210;48;Mendeley_Guangxi2022
483,00;0,00;0,00;0,00;162,00;7,25;1 067,00;742,00;28;200;74,25;Mendeley_Guangxi2022
194,00;0,00;65,00;0,00;179,00;3,11;1 063,00;869,00;28;200;21,85;Mendeley_Guangxi2022
214,00;0,00;71,00;0,00;185,00;3,42;1 062,00;868,00;28;200;28,2;Mendeley_Guangxi2022
260,00;0,00;65,00;0,00;172,00;3,90;1 066,00;837,00;28;190;34,3;Mendeley_Guangxi2022
301,00;0,00;75,00;0,00;169,00;4,51;1 057,00;798,00;28;180;40,15;Mendeley_Guangxi2022
301,00;0,00;75,00;0,00;169,00;4,51;1 057,00;798,00;28;190;40,15;Mendeley_Guangxi2022
330,00;0,00;82,00;0,00;169,00;4,94;1 061,00;768,00;28;190;44,85;Mendeley_Guangxi2022
354,00;0,00;89,00;0,00;164,00;5,32;1 070,00;743,00;28;190;50,9;Mendeley_Guangxi2022
314,00;0,00;79,00;0,00;169,00;4,72;1 048,00;790,00;28;180;40,9;Mendeley_Guangxi2022
346,00;0,00;87,00;0,00;169,00;5,20;1 049,00;759,00;28;185;43,9;Mendeley_Guangxi2022
322,00;0,00;80,00;0,00;177,00;6,03;1 038,00;783,00;28;220;40,85;Mendeley_Guangxi2022
418,00;0,00;0,00;0,00;205,00;2,93;838,00;838,00;28;100;28,7;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;250,00;0,00;798,00;798,00;28;105;27,7;Mendeley_Guangxi2022
466,00;0,00;0,00;0,00;205,00;3,26;814,00;814,00;28;110;35,7;Mendeley_Guangxi2022
480,00;0,00;0,00;0,00;240,00;0,00;790,00;790,00;28;105;35;Mendeley_Guangxi2022
294,00;0,00;73,00;0,00;169,00;4,40;1 062,00;802,00;28;180;40,5;Mendeley_Guangxi2022
322,00;0,00;80,00;0,00;169,00;4,82;1 067,00;772,00;28;175;45;Mendeley_Guangxi2022
346,00;0,00;86,00;0,00;164,00;6,05;1 076,00;748,00;28;185;50,95;Mendeley_Guangxi2022
307,00;0,00;77,00;0,00;169,00;4,61;1 053,00;794,00;28;170;42,05;Mendeley_Guangxi2022
307,00;0,00;77,00;0,00;169,00;4,61;1 053,00;794,00;28;185;42,05;Mendeley_Guangxi2022
